url,status,median_ms,min_ms,max_ms,loss_pct,samples,fails,ip,error
udp://89.234.156.205:451/announce,ok,42.8,42.5,48.2,0.0,5,0,89.234.156.205,
udp://tracker.plx.im:6969/announce,ok,46.5,45.1,53.1,0.0,5,0,54.36.179.216,
udp://tracker.tryhackx.org:6969/announce,ok,48.4,47.2,51.5,0.0,5,0,135.125.236.64,
udp://ipv4announce.sktorrent.eu:6969/announce,ok,53.6,50.7,57.6,0.0,5,0,94.23.207.177,
udp://uabits.today:6990/announce,ok,54.7,52.4,58.1,0.0,5,0,163.5.63.253,
udp://seedpeer.net:6969/announce,ok,56.4,54.2,58.1,0.0,5,0,2.57.214.218,
udp://51.15.41.46:6969/announce,ok,57.3,56.0,61.4,0.0,5,0,51.15.41.46,
udp://tracker.t-1.org:6969/announce,ok,57.4,55.1,60.3,0.0,5,0,107.189.7.165,
udp://tracker.1h.is:1337/announce,ok,59.3,56.0,60.8,0.0,5,0,107.189.4.235,
udp://yuptracker-eu.gaijinent.com:27022/announce,ok,64.3,63.6,71.9,0.0,5,0,52.211.139.85,
udp://archive.torrentonline.cc:42069/announce,ok,66.7,57.5,73.7,0.0,5,0,92.112.127.61,
udp://31.38.161.123:6969/announce,ok,69.0,68.8,69.4,0.0,5,0,31.38.161.123,
udp://147.45.77.75:6969/announce,ok,74.4,72.8,77.2,0.0,5,0,147.45.77.75,
udp://rekcart.duckdns.org:15480/announce,ok,74.5,71.3,74.7,0.0,5,0,37.120.182.83,
udp://torrentclub.online:54123/announce,ok,75.2,72.0,85.2,0.0,5,0,37.120.182.83,
udp://tracker.ducks.party:1984/announce,ok,75.7,71.1,77.9,0.0,5,0,37.120.182.83,
udp://tracker.bluefrog.pw:2710/announce,ok,79.9,79.2,84.3,0.0,5,0,88.80.22.67,
udp://193.34.92.5:80/announce,ok,84.4,83.0,85.0,0.0,5,0,193.34.92.5,
udp://open.stealth.si:80/announce,ok,103.1,95.0,112.8,20.0,4,1,185.243.218.213,
https://t.213891.xyz:443/announce,ok,117.9,110.8,152.4,0.0,5,0,-,
udp://evan.im:6969/announce,ok,121.9,115.8,123.4,0.0,5,0,74.119.149.136,
http://tracker.nyaa.vc:6969/announce,ok,123.6,121.4,146.7,0.0,5,0,-,
udp://ns575949.ip-51-222-82.net:6969/announce,ok,125.9,122.1,131.5,0.0,5,0,51.222.82.36,
http://tracker.qu.ax:6969/announce,ok,126.9,116.2,145.1,0.0,5,0,-,
http://bittorrent-tracker.e-n-c-r-y-p-t.net:1337/announce,ok,131.6,124.6,1169.0,0.0,5,0,-,
udp://173.201.36.219:6969/announce,ok,133.5,132.2,141.0,0.0,5,0,173.201.36.219,
https://tracker.zhuqiy.com:443/announce,ok,134.3,132.4,166.5,0.0,5,0,-,
udp://tracker.dhitechnical.com:6969/announce,ok,138.0,131.2,143.5,0.0,5,0,140.235.237.23,
https://tracker.7471.top:443/announce,ok,152.0,150.7,170.4,0.0,5,0,-,
https://tr.nyacat.pw:443/announce,ok,163.7,154.6,215.8,0.0,5,0,-,
https://tracker.qingwapt.org:443/announce,ok,174.9,167.9,203.0,0.0,5,0,-,
udp://tracker.gmi.gd:6969/announce,ok,176.7,175.1,177.4,0.0,5,0,209.141.59.25,
http://tracker.mywaifu.best:6969/announce,ok,179.3,173.0,215.4,0.0,5,0,-,
udp://23.134.88.9:6969/announce,ok,191.6,171.5,204.4,0.0,5,0,23.134.88.9,
https://retracker2.x2k.ru:443/announce,ok,202.6,189.6,308.6,0.0,5,0,-,
udp://51.81.222.188:6969/announce,ok,204.1,200.6,206.9,0.0,5,0,51.81.222.188,
udp://43.154.112.29:17272/announce,ok,265.8,261.7,280.6,0.0,5,0,43.154.112.29,
https://tracker.manager.v6.navy:443/announce,ok,275.6,221.4,371.9,0.0,5,0,-,
udp://admin.52ywp.com:6969/announce,ok,281.2,246.5,285.1,0.0,5,0,60.172.236.18,
udp://60.249.37.20:6969/announce,ok,318.4,312.1,330.4,0.0,5,0,60.249.37.20,
udp://tracker.dler.com:6969/announce,ok,318.6,315.4,324.5,0.0,5,0,60.249.37.20,
https://tracker.pmman.tech:443/announce,ok,321.8,317.7,327.1,0.0,5,0,-,
udp://tracker.dler.org:6969/announce,ok,324.2,311.8,325.7,0.0,5,0,60.249.37.20,
https://004430.xyz:443/announce,ok,342.9,334.1,493.5,0.0,5,0,-,
https://tracker.nekomi.cn:443/announce,ok,358.4,348.6,368.3,0.0,5,0,-,
http://207.241.226.111:6969/announce,ok,379.9,365.9,397.3,0.0,5,0,-,
http://207.241.231.226:6969/announce,ok,385.6,380.8,898.2,0.0,5,0,-,
http://tracker.xn--djrq4gl4hvoi.top:80/announce,ok,402.2,388.7,431.1,0.0,5,0,-,
http://211.75.205.189:80/announce,ok,636.2,612.9,637.8,0.0,5,0,-,
http://211.75.205.188:80/announce,ok,636.8,621.8,648.3,0.0,5,0,-,
http://211.75.210.221:80/announce,ok,637.8,623.5,641.4,0.0,5,0,-,
http://tracker.tritan.gg:8080/announce,ok,1372.9,369.0,2376.9,60.0,2,3,-,
http://bvarf.tracker.sh:2086/announce,ok,2308.6,763.0,2594.5,40.0,3,2,-,
http://echostar.ddnsfree.com:8080/announce,dead,,,,100.0,0,5,-,
http://speedtest.iperson.xyz:6969/announce,dead,,,,100.0,0,5,-,
http://taciturn-shadow.spb.ru:6969/announce,dead,,,,100.0,0,5,-,
udp://retracker.hotplug.ru:2710/announce,dead,,,,100.0,0,0,,"dns: [Errno 8] nodename nor servname provided, or not known"
udp://wegkxfcivgx.ydns.eu:80/announce,dead,,,,100.0,0,5,169.1.1.108,
udp://tracker.torrent.eu.org:451/announce,dead,,,,100.0,0,5,91.216.110.52,
udp://open.ftorrent.com:443/announce,dead,,,,100.0,0,5,216.110.169.204,
wss://tracker.openwebtorrent.com:443/announce,dead,,,,100.0,0,0,,unsupported scheme: wss
wss://tracker.magnetoo.io:443/announce,dead,,,,100.0,0,0,,unsupported scheme: wss
wss://tracker.files.fm:7073/announce,dead,,,,100.0,0,0,,unsupported scheme: wss
wss://tracker.btorrent.xyz:443/announce,dead,,,,100.0,0,0,,unsupported scheme: wss
wss://spacetradersapi-chatbox.herokuapp.com:443/announce,dead,,,,100.0,0,0,,unsupported scheme: wss
